card_code,variant_label,drive_file_id
KR009,Arte 2,1AnUSN3LBjmE8EhlOjEsgtccZUpX6qWLX
KR009,Stamp,1wpcW4WB8EZHIhNrLQedw2jIqs8EmpbM-
KR009,Stamp Holo,1C8ufPEB-KLfkkc1KHlUyU5roMCdygv7p
KR010,,1IGe5XSDA16LcxlsehmSXsheyXvktdcZ_
KR010,Arte 2,1m8gH73hDJPvwPD2D5NKqpmFi9w286tGO
KR010,Stamp,1OuE_KaaRaZc3nzHGsRm3hrTJRpC6PRh9
KR010,Stamp Holo,1U15Eo9Pn23PyiAjB2BYQiuIAoDvg0VPy
KR011,,13WPZGTP4Mxyq9FDlDbzCPG-2by9qrFuz
KR011,Arte 2,1hSxL3RqzB9Pjb4SG3Ss2wEnwjlHbDHCe
KR011,Stamp,1q5SStFYqBrAahJ5UvNy4B92LF4wYmo5l
KR011,Stamp Holo,1FLA6Etc4-xTPLUrn2BjYkBq_9YQJtmhm
KR012,,1M6F1OZKUCxGrV5VaGjJZzauXmMndRCnC
KR012,Arte 2,1HZd1NPMuMfHbNTUOmDKsfYNOtLy0EtWL
KR012,Stamp,1vLmcKdgG41mzltmYmtlILURnpnIkvTXu
KR012,Stamp Holo,1xlkc-W0hWDzlFSdzGTcdsyL7NkgEoBb8
KR013,,1hBTVERCYM8L0PXdqyFarK5PuaGzBwfNX
KR013,Arte 2,1i7qwDfEQNOilL20eGOq-5pswyNrS95rS
KR013,Stamp,1K21my-zH_l2L3f4kG0fdQEebhsvkND6M
KR013,Stamp Holo,1iFYWRlUpSeE_FCWVBzcXi0m4CdJ0ODXE
KR014,,1d6vw8yfHEKtWN-sMiACOXimc6YDxBhjL
KR014,Arte 2,1WSLFoDU_4CX8xgMHKUr5mg_IOkoCuEEi
KR014,Stamp,1J428rvz3wSrJj9X2YNizmGdMOhxGhjpm
KR014,Stamp Holo,1utrp6a-dDcvLJ700qqeQrZ2q2zup51gT
KR015,,1kEmc_qj687EUWY54w1no9lnvgGjqdU-a
KR015,Arte 2,1w-2cPAgmBjIbto2mCtBHguqDm1dG2YVG
KR015,Stamp,1xHozkTlz453Ptuh-X6i0_6vT-b15erL0
KR015,Stamp Holo,19Yq1uQiFHe-6zLrns4B95z5nZKWC2EvI
KR016,,1JtDodMkAbtJ0Rx5MK-GDm35OLMHQFZ7U
KR016,Arte 2,1xNpVbti7BNX_WNHmh46biHGN6ha_lz7F
KR016,Stamp,16-Ij4lZ6tpF7JDLoATVkOEZq0IJR7k5x
KR016,Stamp Holo,1H56JHbTmj_JMIm_D_Ohk9ugkLVTMdOsl
KR017,,10AHnbouU80Ai9mPZpVl5YPWL0CGl7OTM
KR017,Arte 2,1MFGG9IAHnIRg5j0FuGfG5MGpsbBgAYfV
KR017,Stamp,1rWml2LktiuGwu4gDjjphfwFb7FWgTxV7
KR017,Stamp Holo,1aVGxm0fOOzuXvp5to4xiKv2gdLOmIacS
KR018,,1vpwjEhzHgIZpPSoF4-Ka3mz2_8VaHq3d
KR018,Arte 2,1Ch_EprPVs5wci-VHISEE7uIaI0DOkNSn
KR018,Stamp,1C_7rC9R9auZqA4UmEgVNUZnazmkRo_Mk
KR018,Stamp Holo,10GxBqYzOK966zySwyhbYSsTJUW-yaKNX
KR019,,1q4XbD_U6du5yMg9Ril4R8xBuwOfsBAiy
KR019,Arte 2,1sJxjU9IGSR7t2_8_WiDvHt-bLcZU6PqI
